	LON	LAT	Pulleniatina_obliquiloculata	Globigerinoides_sacculifer	Globorotalia_ungulata	Globigerinoides_ruber	Globorotalia_menardii	Hastigerinella_digitata	Globigerinella_siphonifera	Globigerinella_calida	Globigerinoides_conglobatus	Neogloboquadrina_dutertrei	Orbulina_universa	Globigerina_bulloides	Globigerinita_glutinata	Turborotalita_quinqueloba	Phyllostaurus_cuspidatus	Globigerinita_uvula	Neogloboquadrina_incompta	Globoquadrina_conglomerata	Globorotalia_hirsuta	Hastigerina_pelagica	Neogloboquadrina_pachyderma	Virgulinella_fragilis	Pararotalia_calcariformata	Globorotalia_truncatulinoides	Globorotalia_scitula	Beella_digitata	Amphisorus_hemprichii	Sorites_orbiculus	Sorites_variabilis	Globorotalia_inflata	Globorotalia_tumida	Neidium_amphigomphus	Vellaria_pellucidus	Flexammina_islandica
1	162.32	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	145.39	-14.37	1	1	0	0	0	0	3	0	1	0	2	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	162.3	-14.43	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	73.16	-15.57	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	161.53	-16.15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	67.38	-17.21	3	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	-165.33	2.42	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	162.32	-3.52	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	129.45	32.24	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	133.55	33.3	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
11	-69.31	33.35	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	140.02	34.04	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	161.12	-4.3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	-164.13	-5.4	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	162.31	-6.07	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	-166.33	7.09	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	39.527	-7.188	1	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
