	LON	LAT	Globigerinella_siphonifera	Globigerinoides_sacculifer	Globigerinoides_ruber	Globigerina_bulloides	Turborotalita_quinqueloba	Globigerinella_calida	Orbulina_universa	Pulleniatina_obliquiloculata	Neogloboquadrina_pachyderma	Globorotalia_inflata	Neogloboquadrina_incompta	Globigerinita_uvula	Globorotalia_truncatulinoides	Globorotalia_scitula	Globorotalia_hirsuta
1	140	34	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
2	41	-9	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
3	100	-7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
4	3	38	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0
5	162	-14	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
6	-5	35	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0
7	129	32	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
8	-69	33	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
9	40	-9	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
10	-165	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
11	-22	39	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
12	2	38	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0
13	-159	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
14	-20	35	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0
15	-128	49	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
16	2	39	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
17	-62	-59	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
18	-12	30	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
19	-137	-33	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
20	171	-26	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	-152	-36	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
22	10	74	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
23	161	-4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
24	167	-10	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
25	-61	-55	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
26	67	-17	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
27	-3	36	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0
28	-56	-46	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
29	-20	33	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
30	39	-8	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0
31	162	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
32	0	35	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
33	-59	-64	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
34	-130	-32	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
35	-56	-52	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
36	52	-40	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
37	145	-14	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0
38	-19	29	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
39	64	-48	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
40	-60	-54	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
41	-28	34	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
42	37	-18	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1
43	-159	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
44	-164	-5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
45	63	15	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
46	-65	-61	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
47	-140	-34	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
48	-6	35	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
49	-14	47	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
50	52	-45	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
51	-50	58	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
52	-20	38	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
53	157	25	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
54	145	30	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
55	-21	33	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
56	40	16	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
57	-22	33	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
58	41	-14	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
59	162	-20	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
60	-60	-55	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
61	14	-23	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
62	-143	-34	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
63	39	-7	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
64	145	39	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0
65	162	-9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
66	139	35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
