JD	host
other	Rhodophyta sp.
other	Schmidingerella arcuata
other	Favella ehrenbergii
other	Maristentor dinoferus
other	Dinophysis norvegica
other	Ceratium lineatum
other	Ceratium tripos
other	Alexandrium sp.
other	Akashiwo sanguinea
other	Karlodinium micrum
other	Glenodinium sp.
other	Peridiniopsis sp.
other	Protoperidinium sp.
other	Prorocentrum micans
other	Prorocentrum minimum
other	Prorocentrum triestinum
other	Gymnodinium instriatum
other	Hydropunctaria rheitrophila (specimen-voucher W0972)
other	Hydropunctaria rheitrophila (specimen-voucher W1048)
other	Verrucaria funckii (specimen-voucher W1232)
other	Verrucaria hydrela (specimen-voucher W1280)
vertebrate	Stegostoma fasciatum (zebra shark)
vertebrate	Acipenser ruthenus
vertebrate	Anguilla anguilla
vertebrate	Anguilla japonica (Japanese eel fry)
vertebrate	Acerina cernua
vertebrate	Balistes polylepis
vertebrate	Boops boops
vertebrate	Crenicichla lepidota (pike cichlid)
vertebrate	Dentex dentex (common dentex)
vertebrate	Fundulus grandis
vertebrate	Fundulus grandis (Gulf killifish)
vertebrate	Gadus morhua
vertebrate	Gasterosteus aculeatus
vertebrate	Gobius fluviatilis
vertebrate	Gobius kessleri
vertebrate	Gobius melanostomus
vertebrate	Gymnocephalus cernuus
vertebrate	Hippocampus hippocampus
vertebrate	Lates calcarifer (Asian seabass)
vertebrate	Mugil gyrans
vertebrate	Oncorhynchus mykiss
vertebrate	Oplegnathus fasciatus (spotted knifejaw)
vertebrate	Oreochromis niloticus
vertebrate	Paralichthys olivaceus
vertebrate	Paralichthys olivaceus (olive flounder)
vertebrate	Perca fluviatilis
vertebrate	Pleuronichthys cornutus (righteye flounder)
vertebrate	Psetta maxima
vertebrate	Pterophyllum scalare
vertebrate	Salmo salar
vertebrate	Sander lucioperca
vertebrate	Sebastes schlegelii
vertebrate	Sparus aurata (gilthead sea bream)
vertebrate	Taurulus bubalis
vertebrate	two-bar seabream
vertebrate	Abramis brama
vertebrate	Abramis sapa
vertebrate	Alburnus alburnus
vertebrate	Atlantic herring; Clupea harengus
vertebrate	Barbus barbus
vertebrate	Blicca bjoerkna
vertebrate	Carassius auratus
vertebrate	Carassius gibelio
vertebrate	Clarias gariepinus (African sharptooth catfish)
vertebrate	Ctenopharyngodon idellus
vertebrate	Cyprinus carpio
vertebrate	Cyprinus carpio (Koi carp)
vertebrate	Gobio gobio
vertebrate	grass carp
vertebrate	Hypophthalmichthys molitrix
vertebrate	Labeo rohita
vertebrate	Leuciscus cephalus
vertebrate	Misgurnus anguillicaudatus
vertebrate	Pacific herring; Clupea pallasii
vertebrate	Rutilus rutilus
vertebrate	Sardina pilchardus
vertebrate	Scardinius erythrophthalmus
