parasite?	host
pn	Abramis brama
pn	Abramis sapa
pn	Acalymma vittatum
pn	Acanthochiasma sp.
pn	Acanthodactylus boskianus
pn	Acanthodactylus erythrurus belli
pn	Acanthodesmia vinculata (speceimen no. 1)
pn	Acanthodesmia vinculata (speceimen no. 2)
pn	Acartia clausii
pn	Acartia negligens
pn	Acarus siro L.
pn	Acerina cernua
pn	Acinonyx jubatus
pn	Acipenser ruthenus
pn	Acropora
pn	Acropora brueggemanni
pn	Acropora formosa
pn	Acropora hyacinthus
pn	Acropora millepora (blue)
pn	Acropora millepora (green)
pn	Acropora millepora (pink)
pn	Acropora palifera
pn	Acropora pruinosa
pn	Acropora sp.
pn	Actinotrichia fragilis
pn	Aedes aegypti
pn	Aedes albopictus
pn	Aedes japonicus
pn	Agapanthus sp.
pa	Agapornis roseicollis
pa	Agapornis roseicollis (peach-faced lovebird)
pa	Agapornis sp.
pn	Agaricia agaricites
pn	Agaricia tenuifolia
pa	Agelaius phoeniceus (red-winged blackbird)
pa	Agrionemys horsfieldii
pa	Ailuropoda melanoleuca
pn	Aiptasia cf. insignis
pn	Aiptasia pallida
pn	Aiptasia pulchella
pn	Akashiwo sanguinea
pn	Akodon montensis
pn	Alburnus alburnus
pn	Alces alces
pn	Alces alces (intermediate host)
pn	Alexandrium sp.
pn	Alouatta puruensis
pn	Alveolinella quoii
pa	Amazona aestiva
pn	Amblyomma rotundatum
pa	Amblyomma testudinarium
pn	Amphisorus hemprichii
pn	Ananas comosus
pn	Anas clypeata
pa	Anas platyrhynchos
pn	Anas platyrhynchos
pn	Anax junius
pn	Anemone americana
pn	Anguilla anguilla
pa	Anguilla japonica (Japanese eel fry)
pn	Anolis carolinensis
pn	Anser albifrons
pn	Antarctic krill
pn	Anthelia glauca
pn	Anthopleura affinis xanthogrammica
pn	Anthopleura elegantissima (symbiotic sea anemone)
pn	Anthopleura japonica
pn	Anthurium sp.
pn	Aphelandra sp.
pn	Apis mellifera
pn	Apodemus flavicollis
pa	Apodemus flavicollis; AB164
pa	Apodemus speciosus
pn	Apodemus sylvaticus
pa	Apodemus sylvaticus (wood mouse)
pn	Apteryx australis mantelli
pn	Asparagopsis armata; Falkenbergia stage
pa	Atelerix albiventris
pn	Atlantic herring; Clupea harengus
pn	Atyaephyra desmarestii
pa	aurora finch
pn	Australian cattle
pn	Australian Feral goat
pn	Baculogypsina sphaerulata
pn	Baculogypsinoides spinosus
pn	Baikalospongia intermedia
pn	Baikalospongia recta
pn	Balanus glandula
pn	Balistes polylepis
pn	Barbus barbus
pa	bat
pn	Bison bison athabascae (wood bison)
pn	bivalve mollusc
pn	Blaberus discoidalis
pn	Blaberus sp. var. Amsterdam
pn	Blaberus sp. var. Dusseldorf
pa	Black Bear
pa	black duck
pn	Black rhinoceros (Diceros bicornis)
pn	Blattella germanica
pn	Blicca bjoerkna
pa	Boa constrictor constrictor
pa	Boa constrictor ortoni
pp	Boehmeria nivea
pn	Bombina bombina
pn	Bombus dahlbomii
pn	Bombus pratorum
pn	Bombus ruderatus
pn	Bombus terrestris
pn	Boops boops
pn	Borelis pulchra
pn	Borelis schlumbergeri
pn	Borelis sp.
pn	Bos sp.
pa	Bos taurus
pn	Bos taurus
pn	Bos taurus (black breed) 30 month old ox
pa	Bos taurus (Holstein calf)
pa	Bos taurus (Holstein cow)
pn	Bos taurus (Holsterin-Friesian breed) 56 month old cow
pn	Bos taurus (Holsterin-Friesian breed) 94 month old cow
pn	Bos taurus (Mix breed of Holsterin-Friesian & Japanese black) 26 month old ox
pn	Bos taurus adult
pn	Bos taurus calf
pn	bovine
pa	Branta canadensis
pn	Branta leucopsis
pn	Brassica rapa
