rank1	rank2	rank3	rank4	name	#records	#title	#GPS	#uniqueGPS	gbnumber	lat_lon	country
Rhizaria	Foraminifera	Rotaliida	Globigerinacea	Pulleniatina_obliquiloculata	272	8	242	18	['AB636826', 'AB636825', 'AB636824', 'AB636823', 'AB636822', 'AB636821', 'AB636820', 'AB636819', 'AB636818', 'AB636817', 'AB636816', 'AB636815', 'AB636708', 'AB636707', 'AB636706', 'KM194222', 'AB636885', 'AB636884', 'AB636883', 'AB636882', 'AB636881', 'AB636880', 'AB636879', 'AB636878', 'AB636877', 'AB636876', 'AB636875', 'AB636865', 'AB636864', 'AB636863', 'AB636855', 'AB636854', 'AB636853', 'AB636852', 'AB636851', 'AB636779', 'AB636778', 'AB636728', 'AB636727', 'AB636726', 'AB636725', 'AB636721', 'AB636718', 'AB636693', 'AB636774', 'AB636773', 'AB636772', 'AB636690', 'AB636689', 'AB636777', 'AB636692', 'AB636776', 'AB636775', 'AB636691', 'AB636903', 'AB636902', 'AB636901', 'AB636900', 'AB636899', 'AB636898', 'AB636897', 'AB636896', 'AB636895', 'AB636894', 'AB636893', 'AB636892', 'AB636891', 'AB636890', 'AB636889', 'AB636888', 'AB636887', 'AB636886', 'AB636733', 'AB636732', 'AB636731', 'AB636730', 'AB636729', 'LC049314', 'LC049310', 'LC049309', 'AB636814', 'AB636813', 'AB636812', 'AB636705', 'AB636926', 'AB636925', 'AB636924', 'AB636923', 'AB636922', 'AB636921', 'AB636920', 'AB636919', 'AB636918', 'AB636917', 'AB636916', 'AB636915', 'AB636914', 'AB636913', 'AB636912', 'AB636911', 'AB636910', 'AB636909', 'AB636748', 'AB636747', 'AB636746', 'AB636745', 'AB636744', 'AB636743', 'AB636742', 'AB636741', 'AB636740', 'AB636739', 'AB636738', 'AB636737', 'AB636736', 'LC049307', 'LC049306', 'LC049305', 'LC049304', 'AB636768', 'AB636767', 'AB636766', 'AB636765', 'AB636764', 'AB636763', 'AB636762', 'AB636761', 'AB636760', 'AB636759', 'AB636758', 'AB636757', 'AB636756', 'AB636755', 'AB636754', 'AB636753', 'AB636752', 'AB636751', 'AB636750', 'AB636749', 'AB636687', 'AB636686', 'AB636685', 'AB636684', 'AB636683', 'AB636874', 'AB636873', 'AB636872', 'AB636871', 'AB636870', 'AB636869', 'AB636868', 'AB636867', 'AB636866', 'AB636846', 'AB636845', 'AB636844', 'AB636843', 'AB636842', 'AB636841', 'AB636840', 'AB636839', 'AB636838', 'AB636837', 'AB636836', 'AB636835', 'AB636793', 'AB636792', 'AB636791', 'AB636790', 'AB636789', 'AB636788', 'AB636787', 'AB636786', 'AB636785', 'AB636784', 'AB636783', 'AB636782', 'AB636781', 'AB636780', 'AB636724', 'AB636723', 'AB636722', 'AB636716', 'AB636715', 'AB636714', 'AB636713', 'AB636712', 'AB636698', 'AB636697', 'AB636696', 'AB636695', 'AB636694', 'AB636834', 'AB636833', 'AB636832', 'AB636831', 'AB636830', 'AB636829', 'AB636828', 'AB636827', 'AB636808', 'AB636807', 'AB636806', 'AB636711', 'AB636710', 'AB636709', 'AB636703', 'AB636908', 'AB636907', 'AB636906', 'AB636905', 'AB636904', 'AB636735', 'AB636734', 'LC049316', 'LC049315', 'LC049312', 'LC049311', 'AB636811', 'AB636810', 'AB636809', 'AB636704', 'LC049313', 'KM194001', 'AB636862', 'AB636861', 'AB636860', 'AB636859', 'AB636858', 'AB636857', 'AB636856', 'AB636850', 'AB636849', 'AB636848', 'AB636847', 'AB636771', 'AB636770', 'AB636769', 'AB636720', 'AB636719', 'AB636717', 'AB636688', 'JQ799899', 'AB636805', 'AB636804', 'AB636803', 'AB636802', 'AB636801', 'AB636800', 'AB636799', 'AB636798', 'AB636797', 'AB636796', 'AB636795', 'AB636794', 'AB636702', 'AB636701', 'AB636700', 'AB636699', 'AB468845', 'AB468844', 'AB468843', 'AB468842', 'AB468841', 'AB468840', 'AB263442', 'AB263441', 'AB263440', 'AB263439', 'AY241709', 'DQ407271', 'DQ407270']	['0 S 162.32 E', '14.37 S 145.39 E', '14.43 S 162.30 E', '15.57 S 73.16 E', '16.15 S 161.53 E', '17.21 S 67.38 E', '2.42 N 165.33 W', '3.52 S 162.32 E', '32.24 N 129.45 E', '33.30 N 133.55 E', '33.35 N 69.31 W', '34.04 N 140.02 E', '4.30 S 161.12 E', '5.40 S 164.13 W', '6.07 S 162.31 E', '7.09 N 166.33 W', '7.188 S 39.527 E', '7.22 S 100.40 E']	['Pacific Ocean', '', 'Atlantic Ocean', 'Japan']	[' Longitudinal differentiation among pelagic populations in a planktic foraminifer', ' PF-R(2)', ' Evolution of a Planktonic Foraminifer during Environmental Changes in the Tropical Oceans', ' Ecological partitioning and diversity in tropical planktonic foraminifera', ' CRYPTIC DIVERSITY IN PLANKTIC FORAMINIFERA IN THE NORTHWEST PACIFIC OCEAN', ' Molecular evidence for an independent origin of modern triserial planktonic foraminifera from benthic ancestors', ' Seasonal distribution of genetic types of planktonic foraminifer morphospecies in the Santa Barbara Channel and its paleoceanographic implications', ' Living planktonic foraminifera from the northwest Pacific Ocean']
Rhizaria	Foraminifera	Rotaliida	Globigerinacea	Globigerinoides_sacculifer	90	9	70	32	['JQ004111', 'JQ004108', 'JQ004133', 'JQ004127', 'JQ004126', 'KM194177', 'JQ004128', 'JQ004122', 'JQ004114', 'JQ004113', 'KM194165', 'JQ004104', 'JQ004103', 'JQ004125', 'JQ004123', 'JQ004121', 'KM193988', 'JQ995388', 'JQ995387', 'JQ995380', 'JQ995379', 'JQ995378', 'JQ995377', 'JQ004124', 'JQ004120', 'JQ004119', 'JQ004118', 'JQ004117', 'JQ004116', 'JQ004115', 'JQ004109', 'KM194065', 'JQ004145', 'JQ004102', 'JQ995382', 'JQ995381', 'JQ004146', 'JQ004151', 'JQ995390', 'JQ995389', 'JQ004153', 'JQ004138', 'JQ004135', 'JQ004136', 'JQ004175', 'JQ004134', 'JQ004131', 'JQ004130', 'JQ004142', 'JQ004141', 'JQ004140', 'JQ004101', 'JQ004100', 'JQ004144', 'JQ004143', 'JQ004139', 'JQ995386', 'JQ995385', 'JQ004110', 'JQ004107', 'JQ004112', 'JQ995384', 'JQ995383', 'JQ995376', 'JQ995375', 'JQ995374', 'JQ995373', 'JQ004106', 'JQ004105', 'KM193984', 'U65633', 'AB468881', 'AB468880', 'AB468879', 'AB468878', 'AB468877', 'AB468876', 'AB468875', 'AB263462', 'AB263461', 'AB263460', 'Z83964', 'Z83963', 'U80792', 'AB263459', 'Z69600', 'KJ633210', 'KJ633209', 'KJ633208', 'KJ633207']	['0.00 N 162.50 E', '10.56 N 60.14 W', '11.2 N 69.1 W', '12.10 N 64.28 W', '14.12 S 80.14 E', '14.37 S 145.39 E', '14.83 S 162.60 E', '15.38 N 68.18 W', '15.57 S 73.16 E', '16.428 N 40.5084 E', '17.21 S 67.38 E', '18.1446 S 37.5212 E', '20.33 N 64.40 E', '23.02 S 162.50 E', '30.28 N 21.34 W', '30.36 N 21.27 W', '31.59 N 22.29 W', '32.05 S 130.90 W', '35.50 N 20.14 W', '35.57 N 5.39 W', '35.58 N 5.46 W', '35.58 N 5.51 W', '37.11 N 4.13 E', '38.57 N 2.31 E', '39.00 N 145.00 E', '39.14 N 2.44 E', '39.60 N 2.45 E', '4.50 S 161.10 E', '6.04 S 162.50 E', '7.40 S 160.40 E', '9.00 S 162.50 E', '9.4963 S 40.2944 E']	['', 'Japan']	[' The cryptic and the apparent reversed', ' PF-R(2)', ' Molecular phylogeny of the planktic foraminifera', ' CRYPTIC DIVERSITY IN PLANKTIC FORAMINIFERA IN THE NORTHWEST PACIFIC OCEAN', ' Phylogeny and rates of molecular evolution of planktonic foraminifera', ' Planktic foraminiferal molecular evolution and their polyphyletic origins from benthic taxa', ' Molecular evidence for an independent origin of modern triserial planktonic foraminifera from benthic ancestors', ' Extreme differences in rates of molecular evolution of foraminifera revealed by comparison of ribosomal DNA sequences and the fossil record', ' SSU rDNA Divergence in Planktonic Foraminifera']
Rhizaria	Foraminifera	Rotaliida	Globigerinacea	Globorotalia_ungulata	39	3	38	4	['KJ633150', 'KJ633149', 'KJ633148', 'KJ633147', 'KJ633146', 'KJ633145', 'KJ633144', 'KJ633143', 'KJ633154', 'KJ633153', 'KJ633152', 'KJ633151', 'KM194049', 'KJ633177', 'KJ633176', 'KJ633175', 'KJ633174', 'KJ633173', 'KJ633157', 'KJ633156', 'KJ633155', 'KJ633178', 'KJ633172', 'KJ633171', 'KJ633170', 'KJ633169', 'KJ633168', 'KJ633167', 'KJ633166', 'KJ633165', 'KJ633164', 'KJ633163', 'KJ633162', 'KJ633161', 'KJ633160', 'KJ633159', 'KJ633158', 'KM194051', 'JQ799897']	['0.00 N 162.50 E', '2.31955 S 56.7966 E', '4.50 S 161.11 E', '9.09865 N 63.42665 E']	['']	[' SSU rDNA Divergence in Planktonic Foraminifera', ' PF-R(2)', ' Ecological partitioning and diversity in tropical planktonic foraminifera']
Rhizaria	Foraminifera	Rotaliida	Globigerinacea	Globigerinoides_ruber	207	10	189	37	['EU012487', 'EU012486', 'EU012485', 'EU012484', 'EU012483', 'EU012482', 'EU012462', 'EU012461', 'EU012460', 'EU012459', 'EU012458', 'EU012457', 'EU012456', 'FM866157', 'FM866155', 'FM866154', 'FM865988', 'FM865987', 'FM865986', 'FM865985', 'FM865984', 'FM865983', 'FM865982', 'FM865981', 'FM865980', 'FM865978', 'EU012481', 'EU012480', 'EU012479', 'EU012478', 'EU012477', 'EU012476', 'EU012475', 'EU012474', 'EU012473', 'EU012472', 'EU012471', 'EU012470', 'FM866186', 'FM865994', 'FM866158', 'FM865996', 'FM865995', 'FM866176', 'FM866175', 'FM866174', 'FM866173', 'FM866172', 'FM866171', 'FM866170', 'FM866169', 'FM866168', 'FM866167', 'FM866165', 'FM866164', 'FM866163', 'FM866162', 'FM866161', 'FM866160', 'FM866159', 'FM866000', 'FM865999', 'FM865998', 'FM865997', 'FM866002', 'FM866005', 'FM866001', 'FM866009', 'FM866008', 'FM866007', 'FM866006', 'FM866125', 'FM866117', 'FM866118', 'FM866181', 'FM866180', 'FM866179', 'FM866178', 'FM866177', 'FM866122', 'FM866121', 'FM866119', 'FM866120', 'FM866132', 'FM866134', 'FM866182', 'FM866019', 'FM866018', 'FM866017', 'FM866016', 'FM866015', 'FM866014', 'FM866013', 'FM866012', 'FM866011', 'FM866010', 'FM866127', 'FM866126', 'FM866130', 'FM866129', 'FM866083', 'FM866082', 'FM866081', 'FM866080', 'FM866079', 'FM866078', 'FM866077', 'FM866076', 'FM866074', 'FM866073', 'FM866072', 'FM866071', 'FM866070', 'FM866191', 'FM866063', 'FM866062', 'FM866052', 'FM866051', 'FM866049', 'FM866048', 'FM866043', 'FM866042', 'FM866040', 'FM866189', 'FM866038', 'FM866036', 'FM866034', 'FM866033', 'FM866031', 'FM866029', 'FM866028', 'FM866027', 'FM866025', 'FM866024', 'FM866023', 'FM866021', 'FM865992', 'FM866068', 'FM866067', 'FM866066', 'FM866065', 'FM866064', 'FM865993', 'FM866140', 'FM866139', 'FM866138', 'FM866089', 'FM866088', 'FM866087', 'FM866086', 'FM866085', 'FM866084', 'FM866115', 'FM866114', 'FM866113', 'FM866112', 'FM866111', 'FM866110', 'FM866109', 'FM866108', 'FM866107', 'FM866096', 'FM866095', 'FM866094', 'FM866093', 'FM866092', 'FM866091', 'FM866090', 'FM866124', 'FM866106', 'FM866105', 'FM866104', 'FM866103', 'FM866102', 'FM866101', 'FM866100', 'FM866195', 'FM866194', 'FM866143', 'FM866099', 'FM866098', 'FM866097', 'EU012469', 'EU012468', 'EU012467', 'EU012466', 'EU012465', 'EU012464', 'EU012463', 'JQ799893', 'U65634', 'AB468886', 'AB468885', 'AB468884', 'AB468883', 'AB468882', 'AB263463', 'Z83966', 'Z83965', 'U80789', 'EU012454', 'EU012453', 'EU012452', 'EU012455', 'AB263464', 'Z69599', 'AF102230']	['0.00 N 169.92 W', '14.62 N 158.57 W', '29.98 N 19.88 W', '3.03 N 159.20 W', '30.57 N 12.37 W', '30.61 N 21.45 W', '32.5 N 9.57 W', '33 N 20 W', '33 N 22 W', '33.01 N 9.07 W', '33.32 N 8.76 W', '33.66 N 28.98 E', '33.72 N 26.3 E', '33.73 N 26.54 E', '34.33 N 20 W', '34.36 N 25.97 E', '34.41 N 26.11 E', '34.42 N 26.12 E', '34.51 N 26.23 E', '34.51 N 26.26 E', '34.9 N 20 W', '35.37 N 6.86 W', '35.5 N 20.23 W', '35.91 N 0.53 W', '35.95 N 5.65 W', '35.96 N 5.86 W', '35.98 N 5.77 W', '36.01 N 8.5 W', '36.3 N 3.14 W', '37.25 N 0.5 W', '38.91 N 3.14 E', '38.95 N 2.53 E', '39.1 N 2.75 E', '39.16 N 17.75 E', '39.23 N 2.73 E', '39.27 N 2.71 E', '8.32 N 159.18 W']	['', 'Japan', 'USA']	[' The occurrence of two genotypes of the planktonic foraminifer Globigerinoides ruber (white) and paleo-environmental implications', ' Geographical distribution of cryptic genetic types in the planktonic foraminifer Globigerinoides ruber', ' Ecological partitioning and diversity in tropical planktonic foraminifera', ' Molecular phylogeny of the planktic foraminifera', ' CRYPTIC DIVERSITY IN PLANKTIC FORAMINIFERA IN THE NORTHWEST PACIFIC OCEAN', ' Phylogeny and rates of molecular evolution of planktonic foraminifera', ' Planktic foraminiferal molecular evolution and their polyphyletic origins from benthic taxa', ' Molecular evidence for an independent origin of modern triserial planktonic foraminifera from benthic ancestors', ' Extreme differences in rates of molecular evolution of foraminifera revealed by comparison of ribosomal DNA sequences and the fossil record', ' The diversity and distribution of modern planktic foraminiferal small subunit ribosomal RNA genotypes and their potential as tracers of present and past ocean circulations']
Rhizaria	Foraminifera	Rotaliida	Globigerinacea	Globorotalia_menardii	28	7	22	9	['KM194052', 'KM194244', 'KM194050', 'KM194048', 'KM194038', 'KM194043', 'KM194045', 'KM194026', 'KM193996', 'KM194044', 'KJ633248', 'KJ633247', 'KJ633246', 'KJ633245', 'KJ633244', 'KJ633243', 'KJ633242', 'KJ633241', 'KM194000', 'KM193960', 'KM194046', 'KM194037', 'JQ799896', 'AB468851', 'AB468850', 'Z83970', 'U80794', 'AB263445']	['0.4517 S 59.1892 E', '11.2 N 69.1 W', '15.0111 N 65.0002 E', '17.7763 N 64.41155 E', '20.2281 N 64.2936 E', '3.27915 N 62.798 E', '34.00 N 140.00 E', '5.91855 N 63.0944 E', '9.09865 N 63.42665 E']	['', 'Japan']	[' PF-R(2)', ' SSU rDNA Divergence in Planktonic Foraminifera', ' Ecological partitioning and diversity in tropical planktonic foraminifera', ' CRYPTIC DIVERSITY IN PLANKTIC FORAMINIFERA IN THE NORTHWEST PACIFIC OCEAN', ' Phylogeny and rates of molecular evolution of planktonic foraminifera', ' Planktic foraminiferal molecular evolution and their polyphyletic origins from benthic taxa', ' Molecular evidence for an independent origin of modern triserial planktonic foraminifera from benthic ancestors']
Rhizaria	Foraminifera	Rotaliida	Hantkeninoidea	Hastigerinella_digitata	11	1	11	3	['KM193939', 'KM193934', 'KM194477', 'KM194470', 'KM194449', 'KM194534', 'KM194531', 'KM194516', 'KM194512', 'KM194509', 'KM193940']	['10.01378 S 41.68737 E', '36.1834 N 3.0837 W', '8.96292 S 39.72975 E']	['']	[' PF-R(2)']
Rhizaria	Foraminifera	Rotaliida	Globigerinacea	Globigerinella_siphonifera	228	11	199	79	['KF769771', 'KF769566', 'KJ202255', 'KJ202252', 'KJ202248', 'KJ202247', 'KJ202245', 'KJ202234', 'KJ202232', 'KJ202226', 'KJ202216', 'KJ202215', 'KJ202214', 'KJ202213', 'KF769609', 'KM194224', 'KM194156', 'KF769578', 'KF769577', 'KF769586', 'KM194154', 'KM194223', 'KM194179', 'KF769768', 'KF769767', 'KF769603', 'KF769569', 'KF769564', 'KF769563', 'KF769802', 'KF769579', 'KF769584', 'KF769583', 'KF769582', 'KF769581', 'KF769575', 'KF769808', 'KF769789', 'KF769775', 'KF769774', 'KF769773', 'KF769772', 'KF769608', 'KF769601', 'KF769600', 'KF769599', 'KF769794', 'KF769611', 'KF769610', 'KF769607', 'KF769570', 'KF769565', 'KF769589', 'KJ202254', 'KJ202239', 'KJ202228', 'KJ202223', 'KJ202221', 'KJ202219', 'KF769628', 'KJ202256', 'KJ202253', 'KJ202249', 'KJ202246', 'KJ202240', 'KJ202238', 'KJ202237', 'KJ202236', 'KJ202235', 'KJ202233', 'KJ202231', 'KJ202230', 'KJ202229', 'KJ202225', 'KJ202224', 'KJ202222', 'KJ202220', 'KJ202218', 'KJ202217', 'KM194221', 'KM194157', 'KM194155', 'KF769585', 'KF769824', 'KF769642', 'KF769632', 'KF769920', 'KF769912', 'KF769897', 'KF769796', 'KM194204', 'KF769639', 'KF769635', 'KF769633', 'KM194194', 'KM194193', 'KM194191', 'KM194171', 'KM194170', 'KM194169', 'KF769631', 'KF769819', 'KM194198', 'KM194197', 'KM194195', 'KM194172', 'KM194178', 'KM194200', 'KM194199', 'KF769823', 'KM194190', 'KF769821', 'KF769820', 'KF769629', 'KF769829', 'KM193143', 'KF769792', 'KF769791', 'KF769790', 'KF769788', 'KF769787', 'KF769786', 'KF769637', 'KF769636', 'KJ633205', 'KJ633204', 'KM194188', 'KM194201', 'KF769643', 'KM194167', 'KF769825', 'KF769640', 'KM194225', 'KF769763', 'KF769641', 'KM194184', 'KM194183', 'KM194182', 'KF769638', 'KM194220', 'KF769826', 'KM194219', 'KM194217', 'KM194176', 'KM194216', 'KM194215', 'KM194214', 'KM194213', 'KM194212', 'KM194211', 'KM194175', 'KM194174', 'KM194173', 'KM194168', 'KF769634', 'KF769822', 'KF769861', 'KF769780', 'KF769779', 'KF769812', 'KF769804', 'KF769795', 'KF769626', 'KF769560', 'KF769766', 'KF769561', 'KF769618', 'KF769614', 'KF769783', 'KF769617', 'KF769615', 'KF769591', 'KF769764', 'KF769605', 'KF769596', 'KF769595', 'KF769594', 'KF769593', 'KF769592', 'KF769803', 'KF769785', 'KF769625', 'KF769765', 'KF769620', 'KF769619', 'KF769567', 'KF769811', 'KF769805', 'KF769630', 'KF769598', 'KF769597', 'KF769568', 'KF769810', 'KF769770', 'KF769613', 'KF769606', 'KF769604', 'KF769602', 'KF769562', 'JQ799892', 'U65631', 'Z83959', 'AJ390580', 'AJ390579', 'AJ390578', 'AJ390577', 'AJ390576', 'AJ390574', 'AJ390573', 'AJ390572', 'AJ390571', 'AJ390570', 'AJ390568', 'AJ390567', 'AJ390566', 'AJ390565', 'AJ390564', 'AJ390562', 'AJ390560', 'AJ390559', 'Z69602', 'KM194180', 'U80788', 'U80787', 'AF102227', 'AF102228', 'AJ251212', 'AJ251213']	['10.023 S 42.1457 E', '10.024 S 42.1457 E', '10.381 S 167.125 E', '10.8987 S 41.4193 E', '11.2 N 69.1 W', '13.1177 N 43.0588 E', '14.21 N 77.39 W', '14.37 S 145.39 E', '14.4717 S 41.597 E', '15.0185 N 65.0003 E', '15.226 N 41.8208 E', '15.25 N 63.5 E', '16.5175 N 40.9558 E', '16.7133 S 40.8473 E', '18.069 N 64.6752 E', '18.241 S 37.8687 E', '18.953 N 113.7107 E', '22.719 S 170.918 E', '25.2083 S 35.4657 E', '26.654 S 171.384 E', '29.09 N 15.3 W', '29.1 N 15.3 W', '29.15 N 15.5 W', '29.167 N 15.3312 W', '29.4922 N 34.9144 E', '3.6567 N 63.0095 E', '30.522 N 18.244 W', '31.942 N 135.453 E', '32.085 N 31.399 W', '32.381 N 133.938 E', '32.501 N 134.125 E', '32.548 N 29.242 W', '33.095 N 28.138 W', '33.23 N 118.26 W', '33.363 N 26.088 W', '33.3833 N 118.4333 W', '34.25 N 31.077 W', '34.2667 N 119.9334 W', '34.3333 N 120.5667 W', '34.4333 N 119.9333 W', '34.4333 N 120.4333 W', '35 S 53.5 E', '35.00 N 139.37 E', '35.00 S 53.50 E', '35.001 N 29.111 W', '35.336 N 21.119 W', '35.95 N 5.65 W', '37.177 N 26.256 W', '37.1863 N 4.218 E', '37.283 N 26.072 W', '38.9163 N 3.1498 E', '39.181 N 24.444 W', '39.398 N 24.269 W', '39.7828 N 17.683 E', '43.171 N 21.266 W', '43.7165 N 9.035 E', '45.242 N 19.347 W', '45.43 N 19.181 W', '46.039 N 19.003 W', '46.166 N 18.493 W', '47.157 N 15.315 W', '47.225 N 15.085 W', '47.279 N 14.49 W', '47.3833 N 15.1333 W', '47.45 N 14.8167 W', '47.65 N 14.15 W', '5.411 S 39.1747 E', '5.5183 S 39.4065 E', '6.3967 N 63.183 E', '7.0313 S 39.8783 E', '8.585 S 40.6105 E', '8.9508 S 39.6652 E', '8.9787 S 39.7487 E', '9.2777 N 63.7392 E', '9.504 S 41.8248 E', '9.505 S 41.8248 E', '9.507 S 41.8248 E', '9.8272 S 40.4907 E', '9.9982 S 41.4665 E']	['Indian Ocean', 'Pacific Ocean', '', 'Atlantic Ocean', 'Mediterranean Sea', 'USA']	[' Phylogeography of the tropical planktonic foraminifera lineage globigerinella reveals isolation inconsistent with passive dispersal by ocean currents', ' Genetic and morphometric evidence for parallel evolution of the Globigerinella calida morphotype', ' PF-R(2)', ' SSU rDNA Divergence in Planktonic Foraminifera', ' Ecological partitioning and diversity in tropical planktonic foraminifera', ' Molecular phylogeny of the planktic foraminifera', ' Phylogeny and rates of molecular evolution of planktonic foraminifera', " A molecular approach to biodiversity and biogeography in the planktonic foraminifera Globigerinella siphonifera (d'Orbigny)", ' Extreme differences in rates of molecular evolution of foraminifera revealed by comparison of ribosomal DNA sequences and the fossil record', ' Planktic foraminiferal molecular evolution and their polyphyletic origins from benthic taxa', ' The diversity and distribution of modern planktic foraminiferal small subunit ribosomal RNA genotypes and their potential as tracers of present and past ocean circulations']
Rhizaria	Foraminifera	Rotaliida	Globigerinacea	Globigerinella_calida	45	4	44	26	['KM194148', 'KJ202251', 'KJ202250', 'KJ202244', 'KJ202243', 'KJ202242', 'KJ202241', 'KF769662', 'KF769664', 'KF769874', 'KF769590', 'KF769895', 'KF769892', 'KF769588', 'KF769587', 'KM194205', 'KM194203', 'KF769863', 'KF769828', 'KF769827', 'KM194186', 'KM193142', 'KM193141', 'KM193140', 'KM193139', 'KM193138', 'KM194218', 'KM194210', 'KM194208', 'KM194209', 'KM194207', 'KM194206', 'KM194202', 'KM194196', 'KM194192', 'KM194189', 'KM194187', 'KM194185', 'KM194181', 'KF769889', 'KF769864', 'KF769890', 'KF769875', 'KF769894', 'Z83960']	['10.02337 S 53.04742 E', '10.381 S 167.125 E', '12.0247 N 64.4748 W', '12.0252 N 64.4765 W', '14.4717 S 41.597 E', '15.305 N 72.7843 W', '18.241 S 37.8687 E', '18.5088 N 83.6353 W', '24.2462 N 80.9203 W', '30.522 N 18.244 W', '32.312 N 21.107 W', '34.9997 N 22.0175 W', '37.177 N 26.256 W', '39 N 145 E', '45.242 N 19.347 W', '46.166 N 18.493 W', '46.242 N 18.343 W', '46.243 N 18.343 W', '47.157 N 15.315 W', '47.225 N 15.085 W', '47.279 N 14.49 W', '47.387 N 14.094 W', '8.9508 S 39.6652 E', '9.503 S 41.8248 E', '9.8272 S 40.4907 E', '9.9982 S 41.4665 E']	['', 'Pacific Ocean', 'Atlantic Ocean', 'Indian Ocean']	[' PF-R(2)', ' Genetic and morphometric evidence for parallel evolution of the Globigerinella calida morphotype', ' Phylogeography of the tropical planktonic foraminifera lineage globigerinella reveals isolation inconsistent with passive dispersal by ocean currents', ' Phylogeny and rates of molecular evolution of planktonic foraminifera']
Rhizaria	Foraminifera	Rotaliida	Globigerinacea	Globigerinoides_conglobatus	21	5	15	6	['KM194263', 'KM194262', 'KM194269', 'KM194286', 'KM194159', 'KM194086', 'KM194252', 'KM194259', 'KM194261', 'KM194260', 'KM194249', 'KM194248', 'KM194247', 'KM194246', 'KM194093', 'AB468888', 'AB468887', 'AB263465', 'Z83967', 'U80790', 'AB263466']	['10.381 S 167.125 E', '14.37 S 145.39 E', '16.428 N 40.5084 E', '22.719 S 170.918 E', '26.654 S 171.384 E', '7.188 S 39.527 E']	['', 'Japan']	[' PF-R(2)', ' CRYPTIC DIVERSITY IN PLANKTIC FORAMINIFERA IN THE NORTHWEST PACIFIC OCEAN', ' Phylogeny and rates of molecular evolution of planktonic foraminifera', ' Planktic foraminiferal molecular evolution and their polyphyletic origins from benthic taxa', ' Molecular evidence for an independent origin of modern triserial planktonic foraminifera from benthic ancestors']
Rhizaria	Foraminifera	Rotaliida	Globigerinacea	Neogloboquadrina_dutertrei	48	9	39	7	['KM194258', 'KM194257', 'KM194256', 'KM194268', 'KM194267', 'KM194266', 'KM194265', 'KM194264', 'KM194281', 'KM194279', 'KM194278', 'KM194277', 'KM194276', 'KM194275', 'KM194274', 'KM194273', 'KM194272', 'KM194271', 'KM194270', 'KM194285', 'KM194284', 'KM194283', 'KM194282', 'KM194289', 'KM194287', 'KM194111', 'KM194101', 'KM194100', 'KM194254', 'KM194107', 'KM194102', 'KM194089', 'KM194060', 'KM194047', 'KM194251', 'KM194250', 'LC049317', 'KM194136', 'KM194068', 'U65635', 'AB468839', 'AB468838', 'AB263438', 'Z83972', 'EU199449', 'AB263437', 'AY241707', 'AY453135']	['10.381 S 167.125 E', '18.1446 S 37.5212 E', '22.719 S 170.918 E', '25.125 S 35.2794 E', '26.654 S 171.384 E', '33.30 N 133.55 E', '9.4963 S 40.2944 E']	['', 'Japan', 'Bermuda']	[' PF-R(2)', ' Evolution of a Planktonic Foraminifer during Environmental Changes in the Tropical Oceans', ' Molecular phylogeny of the planktic foraminifera', ' CRYPTIC DIVERSITY IN PLANKTIC FORAMINIFERA IN THE NORTHWEST PACIFIC OCEAN', ' Phylogeny and rates of molecular evolution of planktonic foraminifera', ' Molecular phylogeny of Rotaliida (Foraminifera) based on complete small subunit rDNA sequences', ' Molecular evidence for an independent origin of modern triserial planktonic foraminifera from benthic ancestors', ' Seasonal distribution of genetic types of planktonic foraminifer morphospecies in the Santa Barbara Channel and its paleoceanographic implications', ' Coiling direction changes in different generations of Neogloboquadrina pachyderma']
